issue_id,process_id,product_id,step_id,issue_type,issue_desc,root_cause,solution,impact_level,occurrence_time,resolution_time
PROD0001_V1_STEP002_ISSUE,PROD0001_V1,PROD0001,PROD0001_V1_STEP002,遗漏,交易执行环节遗漏关键步骤或数据,人员疏忽,建立检查清单,中,2023-01-03 09:57:48,2023-01-03 10:26:44
PROD0002_V1_STEP002_ISSUE,PROD0002_V1,PROD0002,PROD0002_V1_STEP002,数据问题,交易执行环节数据问题,人员问题,优化流程,低,2023-04-19 09:40:48,2023-04-19 09:57:23
PROD0003_V1_STEP003_ISSUE,PROD0003_V1,PROD0003,PROD0003_V1_STEP003,遗漏,交易确认环节遗漏关键步骤或数据,系统提示不足,加强培训,中,2023-05-20 11:01:40,2023-05-20 11:15:02
PROD0003_V1_STEP006_ISSUE,PROD0003_V1,PROD0003,PROD0003_V1_STEP006,数据问题,托管行清算核对环节数据问题,人员问题,优化流程,低,2023-05-20 15:54:26,2023-05-20 16:34:31
PROD0003_V1_STEP009_ISSUE,PROD0003_V1,PROD0003,PROD0003_V1_STEP009,系统问题,托管行估值核对环节系统问题,人员问题,加强培训,高,2023-05-20 21:09:39,2023-05-20 22:11:19
PROD0004_V1_STEP001_ISSUE,PROD0004_V1,PROD0004,PROD0004_V1_STEP001,错误,交易指令接收环节出现数据错误，需要重新处理,人工操作失误,加强培训,低,2023-02-01 09:15:00,2023-02-01 09:30:01
PROD0004_V2_STEP005_ISSUE,PROD0004_V2,PROD0004,PROD0004_V2_STEP005,系统问题,估值计算环节系统问题,人员问题,改进协作,低,2023-07-04 14:37:58,2023-07-04 15:24:51
PROD0005_V1_STEP003_ISSUE,PROD0005_V1,PROD0005,PROD0005_V1_STEP003,协作问题,清算处理环节协作问题,人员问题,修复系统,中,2023-08-10 11:27:29,2023-08-10 12:09:29
PROD0005_V1_STEP006_ISSUE,PROD0005_V1,PROD0005,PROD0005_V1_STEP006,错误,托管行估值核对环节出现数据错误，需要重新处理,数据源错误,修正计算逻辑,低,2023-08-10 15:19:47,2023-08-10 15:47:31
PROD0006_V1_STEP004_ISSUE,PROD0006_V1,PROD0006,PROD0006_V1_STEP004,系统问题,清算数据接收环节系统问题,人员问题,加强培训,高,2023-10-26 11:39:23,2023-10-26 12:04:53
PROD0006_V1_STEP006_ISSUE,PROD0006_V1,PROD0006,PROD0006_V1_STEP006,数据问题,托管行清算核对环节数据问题,流程设计问题,改进协作,高,2023-10-26 14:18:49,2023-10-26 14:53:19
PROD0006_V1_STEP013_ISSUE,PROD0006_V1,PROD0006,PROD0006_V1_STEP013,延迟,信息披露发布环节执行延迟，超出计划时间-29分钟,人员协调问题,加强协作机制,低,2023-10-26 23:50:14,2023-10-27 00:05:57
PROD0006_V2_STEP002_ISSUE,PROD0006_V2,PROD0006,PROD0006_V2_STEP002,数据问题,交易执行环节数据问题,系统问题,改进协作,低,2023-01-09 10:07:29,2023-01-09 10:50:42
PROD0006_V2_STEP007_ISSUE,PROD0006_V2,PROD0006,PROD0006_V2_STEP007,延迟,估值数据准备环节执行延迟，超出计划时间-60分钟,前置步骤延迟,调整时间安排,低,2023-01-09 16:14:50,2023-01-09 16:44:52
PROD0006_V2_STEP009_ISSUE,PROD0006_V2,PROD0006,PROD0006_V2_STEP009,数据问题,托管行估值核对环节数据问题,协作问题,改进协作,中,2023-01-09 20:30:27,2023-01-09 21:35:21
PROD0007_V1_STEP007_ISSUE,PROD0007_V1,PROD0007,PROD0007_V1_STEP007,协作问题,信息披露环节协作问题,协作问题,修复系统,低,2023-04-04 17:12:45,2023-04-04 17:26:43
PROD0007_V2_STEP003_ISSUE,PROD0007_V2,PROD0007,PROD0007_V2_STEP003,遗漏,清算处理环节遗漏关键步骤或数据,检查清单缺失,优化系统提示,高,2023-10-24 11:25:25,2023-10-24 12:28:44
PROD0007_V2_STEP004_ISSUE,PROD0007_V2,PROD0007,PROD0007_V2_STEP004,数据问题,托管行清算核对环节数据问题,人员问题,加强培训,低,2023-10-24 13:10:06,2023-10-24 13:51:28
PROD0007_V2_STEP005_ISSUE,PROD0007_V2,PROD0007,PROD0007_V2_STEP005,协作问题,估值计算环节协作问题,人员问题,改进协作,高,2023-10-24 14:56:57,2023-10-24 16:02:25
PROD0008_V1_STEP003_ISSUE,PROD0008_V1,PROD0008,PROD0008_V1_STEP003,遗漏,清算处理环节遗漏关键步骤或数据,检查清单缺失,完善流程设计,低,2023-01-14 11:54:28,2023-01-14 12:52:46
PROD0008_V2_STEP002_ISSUE,PROD0008_V2,PROD0008,PROD0008_V2_STEP002,协作问题,交易执行环节协作问题,流程设计问题,改进协作,低,2023-10-26 10:12:20,2023-10-26 10:48:25
PROD0008_V2_STEP004_ISSUE,PROD0008_V2,PROD0008,PROD0008_V2_STEP004,数据问题,托管行清算核对环节数据问题,人员问题,加强培训,中,2023-10-26 12:43:11,2023-10-26 13:18:28
PROD0008_V2_STEP005_ISSUE,PROD0008_V2,PROD0008,PROD0008_V2_STEP005,系统问题,估值计算环节系统问题,系统问题,修复系统,低,2023-10-26 14:01:58,2023-10-26 14:45:28
PROD0008_V2_STEP006_ISSUE,PROD0008_V2,PROD0008,PROD0008_V2_STEP006,协作问题,托管行估值核对环节协作问题,系统问题,加强培训,低,2023-10-26 15:13:00,2023-10-26 15:40:31
PROD0009_V1_STEP003_ISSUE,PROD0009_V1,PROD0009,PROD0009_V1_STEP003,延迟,交易确认环节执行延迟，超出计划时间-34分钟,前置步骤延迟,加强协作机制,中,2023-04-23 10:30:56,2023-04-23 10:44:01
PROD0009_V1_STEP004_ISSUE,PROD0009_V1,PROD0009,PROD0009_V1_STEP004,协作问题,清算数据接收环节协作问题,系统问题,优化流程,高,2023-04-23 11:13:44,2023-04-23 11:43:28
