step_id,process_id,product_id,step_name,step_type,responsible_dept,responsible_person,predecessor_steps,planned_duration,actual_duration,start_time,end_time,status
PROD0001_V1_STEP001,PROD0001_V1,PROD0001,交易指令接收,交易,交易部,交易部_5号员工,,1.0,0.48,2023-01-03 09:00:00,2023-01-03 09:28:53,已完成
PROD0001_V1_STEP002,PROD0001_V1,PROD0001,交易执行,交易,交易部,交易部_3号员工,STEP001,2.0,0.96,2023-01-03 09:28:53,2023-01-03 10:26:44,有问题
PROD0001_V1_STEP003,PROD0001_V1,PROD0001,交易确认,交易,交易部,交易部_4号员工,STEP002,1.0,0.73,2023-01-03 10:26:44,2023-01-03 11:10:47,已完成
PROD0001_V1_STEP004,PROD0001_V1,PROD0001,清算数据接收,清算,清算部,清算部_5号员工,STEP003,2.0,1.46,2023-01-03 11:10:47,2023-01-03 12:38:32,已完成
PROD0001_V1_STEP005,PROD0001_V1,PROD0001,清算处理,清算,清算部,清算部_5号员工,STEP004,3.0,1.8,2023-01-03 12:38:32,2023-01-03 14:26:40,已完成
PROD0001_V1_STEP006,PROD0001_V1,PROD0001,托管行清算核对,清算,清算部,清算部_4号员工,STEP005,2.0,1.47,2023-01-03 14:26:40,2023-01-03 15:55:04,已完成
PROD0001_V1_STEP007,PROD0001_V1,PROD0001,估值数据准备,估值,估值部,估值部_4号员工,STEP006,2.0,1.1,2023-01-03 15:55:04,2023-01-03 17:00:55,已完成
PROD0001_V1_STEP008,PROD0001_V1,PROD0001,估值计算,估值,估值部,估值部_5号员工,STEP007,3.0,1.79,2023-01-03 17:00:55,2023-01-03 18:48:25,已完成
PROD0001_V1_STEP009,PROD0001_V1,PROD0001,托管行估值核对,估值,估值部,估值部_1号员工,STEP008,2.0,1.54,2023-01-03 18:48:25,2023-01-03 20:20:44,已完成
PROD0001_V1_STEP010,PROD0001_V1,PROD0001,估值结果确认,估值,估值部,估值部_2号员工,STEP009,1.0,0.44,2023-01-03 20:20:44,2023-01-03 20:46:50,已完成
PROD0001_V1_STEP011,PROD0001_V1,PROD0001,信息披露准备,披露,披露部,披露部_3号员工,STEP010,2.0,1.21,2023-01-03 20:46:50,2023-01-03 21:59:15,已完成
PROD0001_V1_STEP012,PROD0001_V1,PROD0001,信息披露审核,披露,披露部,披露部_4号员工,STEP011,2.0,1.42,2023-01-03 21:59:15,2023-01-03 23:24:43,已完成
PROD0001_V1_STEP013,PROD0001_V1,PROD0001,信息披露发布,披露,披露部,披露部_1号员工,STEP012,1.0,0.48,2023-01-03 23:24:43,2023-01-03 23:53:32,已完成
PROD0002_V1_STEP001,PROD0002_V1,PROD0002,交易指令接收,交易,交易部,交易部_4号员工,,0.5,0.4,2023-04-19 09:00:00,2023-04-19 09:24:13,已完成
PROD0002_V1_STEP002,PROD0002_V1,PROD0002,交易执行,交易,交易部,交易部_2号员工,STEP001,1.0,0.55,2023-04-19 09:24:13,2023-04-19 09:57:23,有问题
PROD0002_V1_STEP003,PROD0002_V1,PROD0002,清算处理,清算,清算部,清算部_4号员工,STEP002,1.0,0.7,2023-04-19 09:57:23,2023-04-19 10:39:37,已完成
