process_id,product_id,product_name,product_type,investment_scope,trading_market,custodian,setup_date,process_version,status
PROD0001_V1,PROD0001,易方达股票型基金1号,股票型,境内股票,沪深交易所,招商银行,2023-01-03,1,执行中
PROD0002_V1,PROD0002,易方达货币型基金2号,货币型,混合资产,多市场,中信银行,2023-04-19,1,执行中
PROD0003_V1,PROD0003,易方达股票型基金3号,股票型,境外股票,香港交易所,中信银行,2023-05-20,1,已完成
PROD0004_V1,PROD0004,易方达混合型基金4号,混合型,境外债券,美国市场,浦发银行,2023-02-01,1,已完成
PROD0004_V2,PROD0004,易方达混合型基金4号,混合型,境外债券,美国市场,浦发银行,2023-07-04,2,执行中
PROD0005_V1,PROD0005,易方达混合型基金5号,混合型,境外债券,沪深交易所,工商银行,2023-08-10,1,已完成
PROD0005_V2,PROD0005,易方达混合型基金5号,混合型,境外债券,沪深交易所,工商银行,2023-03-06,2,执行中
PROD0006_V1,PROD0006,易方达QDII基金6号,QDII,境外股票,多市场,浦发银行,2023-10-26,1,已完成
PROD0006_V2,PROD0006,易方达QDII基金6号,QDII,境外股票,多市场,浦发银行,2023-01-09,2,已完成
PROD0007_V1,PROD0007,易方达混合型基金7号,混合型,境外债券,银行间市场,中信银行,2023-04-04,1,已完成
PROD0007_V2,PROD0007,易方达混合型基金7号,混合型,境外债券,银行间市场,中信银行,2023-10-24,2,执行中
PROD0008_V1,PROD0008,易方达FOF基金8号,FOF,境外股票,多市场,工商银行,2023-01-14,1,已完成
PROD0008_V2,PROD0008,易方达FOF基金8号,FOF,境外股票,多市场,工商银行,2023-10-26,2,执行中
PROD0009_V1,PROD0009,易方达债券型基金9号,债券型,境外股票,沪深交易所,浦发银行,2023-04-23,1,已完成
PROD0009_V2,PROD0009,易方达债券型基金9号,债券型,境外股票,沪深交易所,浦发银行,2023-07-09,2,已完成
PROD0010_V1,PROD0010,易方达QDII基金10号,QDII,境内债券,多市场,浦发银行,2023-08-02,1,已完成
PROD0010_V2,PROD0010,易方达QDII基金10号,QDII,境内债券,多市场,浦发银行,2023-06-23,2,已完成
PROD0011_V1,PROD0011,易方达QDII基金11号,QDII,混合资产,多市场,建设银行,2023-09-22,1,已完成
PROD0011_V2,PROD0011,易方达QDII基金11号,QDII,混合资产,多市场,建设银行,2023-11-04,2,已完成
PROD0012_V1,PROD0012,易方达混合型基金12号,混合型,境内股票,多市场,建设银行,2023-12-05,1,执行中
PROD0013_V1,PROD0013,易方达QDII基金13号,QDII,境内股票,多市场,招商银行,2023-08-19,1,已完成
PROD0014_V1,PROD0014,易方达货币型基金14号,货币型,境内债券,香港交易所,浦发银行,2023-05-13,1,已完成
PROD0014_V2,PROD0014,易方达货币型基金14号,货币型,境内债券,香港交易所,浦发银行,2023-02-18,2,执行中
PROD0015_V1,PROD0015,易方达股票型基金15号,股票型,境外股票,银行间市场,工商银行,2023-08-25,1,执行中
