case_id,date,fund_code,security_code,asset_class,difference_type,root_cause,difference_amount,difference_pct,resolution,resolution_time,resolved_by,similar_cases,created_at
CASE20251027001,2025-10-27,HKGBF,US534900128,Fund,价格差异,使用不同的定价服务商,43119.29,0.292122,等待交易所价格更新,42,张三,"CASE20240452821,CASE20241043852",2025-10-27 15:53:00
CASE20251105002,2025-11-05,HKGBF,US900801837,Fund,价格差异,托管行使用前日收盘价,12241.49,0.298547,等待交易所价格更新,116,王五,,2025-11-05 12:50:00
CASE20251130003,2025-11-30,HKGBF,US347745AA3,Bond,费用差异,其他费用未计提,25546.61,0.091063,确认费用分摊方法,98,李四,CASE20240414779,2025-11-30 16:28:00
CASE20250929004,2025-09-29,HKGBF,US262089272,Equity,持仓数量差异,托管行数据延迟,23251.26,1.171097,联系托管行核对持仓,115,王五,,2025-09-29 14:00:00
CASE20251026005,2025-10-26,HKCACLR1,US140380477,Cash,应计利息差异,计息天数计算方法不同,29611.85,0.112063,核对付息日期,64,赵六,"CASE20240258661,CASE20240285630",2025-10-26 15:04:00
CASE20251018006,2025-10-18,HKGCLF,US799905142,Fund,费用差异,管理费计提方法不同,27760.39,0.080223,联系托管行确认费用,108,钱七,"CASE20241075514,CASE20240409981,CASE20240227462",2025-10-18 10:52:00
CASE20251108007,2025-11-08,HKCACLR1,US739427AA6,Bond,费用差异,费用分摊方法不同,32341.74,0.008719,联系托管行确认费用,72,钱七,,2025-11-08 12:24:00
CASE20251102008,2025-11-02,HKGCLF,US699108439,Cash,费用差异,其他费用未计提,2713.04,0.064934,统一费用计提标准,47,张三,,2025-11-02 12:25:00
CASE20251119009,2025-11-19,HKCACLR1,US238460786,Equity,应计利息差异,付息日期理解差异,4166.95,0.202448,核对付息日期,88,赵六,,2025-11-19 18:00:00
CASE20251211010,2025-12-11,HKHYBF,US119574893,Fund,应计利息差异,计息天数计算方法不同,40677.92,0.204334,联系托管行确认计息方法,70,王五,,2025-12-11 11:32:00
CASE20251124011,2025-11-24,HKHYBF,US645127678,Fund,汇率差异,汇率更新时间差异,11404.5,0.031825,使用中间价统一标准,113,张三,,2025-11-24 17:07:00
CASE20251015012,2025-10-15,HKGBF,US968704078,Cash,费用差异,托管费计算差异,6639.35,0.040788,核对费用计算公式,111,钱七,,2025-10-15 16:09:00
CASE20251026013,2025-10-26,HKGBF,US351258749,Fund,应计利息差异,计息规则理解不同,33850.51,0.078884,核对付息日期,101,赵六,,2025-10-26 12:38:00
CASE20251022014,2025-10-22,HKCACLR2,US935504321,Equity,应计利息差异,计息规则理解不同,33947.51,0.175422,联系托管行确认计息方法,103,王五,,2025-10-22 14:30:00
CASE20251029015,2025-10-29,HKGRBF,US863860982,Equity,费用差异,费用分摊方法不同,7006.09,0.02875,确认费用分摊方法,75,张三,,2025-10-29 17:15:00
CASE20251206016,2025-12-06,HKHYBF,US956375AB6,Bond,汇率差异,使用不同汇率源,13712.29,0.181535,联系托管行确认汇率,16,李四,,2025-12-06 13:32:00
CASE20251215017,2025-12-15,HKGCLF,US867407868,Cash,汇率差异,使用不同汇率源,19369.69,0.020913,确认汇率时点一致性,45,张三,,2025-12-15 16:45:00
CASE20251203018,2025-12-03,HKGRBF,US105506AA1,Bond,应计利息差异,计息基准不一致,45878.07,0.147012,联系托管行确认计息方法,62,钱七,CASE20241224963,2025-12-03 16:12:00
CASE20251005019,2025-10-05,HKMMF,US786069196,Fund,价格差异,托管行使用前日收盘价,38831.01,0.126444,联系托管行更新价格源,35,赵六,,2025-10-05 13:54:00
CASE20251213020,2025-12-13,HKGBF,US101679695,Fund,费用差异,托管费计算差异,26849.08,0.065036,核对费用计算公式,42,赵六,,2025-12-13 12:03:00
CASE20251009021,2025-10-09,HKGCLF,US146744734,Equity,价格差异,托管行使用前日收盘价,26221.88,0.186696,等待交易所价格更新,116,赵六,,2025-10-09 13:11:00
CASE20251119022,2025-11-19,HKCACLR1,US469412AB3,Bond,应计利息差异,计息天数计算方法不同,39447.15,0.109993,核对付息日期,22,张三,,2025-11-19 15:50:00
CASE20251023023,2025-10-23,HKCACLR1,US147036629,Fund,汇率差异,中间价与买卖价差异,40593.73,0.017305,确认汇率时点一致性,42,李四,,2025-10-23 17:33:00
CASE20251216024,2025-12-16,HKHYBF,US407209235,Cash,费用差异,费用分摊方法不同,19971.38,0.082464,确认费用分摊方法,9,李四,,2025-12-16 16:39:00
CASE20251215025,2025-12-15,HKCACLR2,US464037804,Cash,应计利息差异,计息规则理解不同,6311.3,0.116726,联系托管行确认计息方法,119,赵六,,2025-12-15 14:14:00
CASE20250924026,2025-09-24,HKGCLF,US982982227,Cash,费用差异,费用分摊方法不同,13409.36,0.012848,统一费用计提标准,60,钱七,"CASE20240758106,CASE20240264336",2025-09-24 15:38:00
CASE20251114027,2025-11-14,HKHYBF,US880411013,Fund,费用差异,费用分摊方法不同,35911.38,0.020831,确认费用分摊方法,62,张三,,2025-11-14 13:00:00
CASE20251004028,2025-10-04,HKGCLF,US752376434,Cash,价格差异,交易所价格延迟更新,3844.55,0.322381,确认价格时点一致性,8,李四,,2025-10-04 13:44:00
CASE20251217029,2025-12-17,HKGRBF,US812048AB6,Bond,汇率差异,中间价与买卖价差异,38947.92,0.076434,确认汇率时点一致性,82,李四,,2025-12-17 16:30:00
CASE20251212030,2025-12-12,HKMMF,US889924866,Equity,费用差异,其他费用未计提,18410.8,0.034867,核对费用计算公式,19,张三,"CASE20240893936,CASE20240342269,CASE20240634721",2025-12-12 13:48:00
CASE20251124031,2025-11-24,HKMMF,US194264587,Cash,持仓数量差异,交易未及时入账,10088.9,0.357884,等待托管行数据更新,27,赵六,,2025-11-24 17:12:00
CASE20251111032,2025-11-11,HKCACLR1,US952225000,Cash,价格差异,交易所价格延迟更新,27544.86,0.152278,确认价格时点一致性,96,李四,,2025-11-11 11:54:00
CASE20251206033,2025-12-06,HKGRBF,US239340792,Equity,汇率差异,汇率取值时点不同,39539.62,0.010125,联系托管行确认汇率,107,钱七,,2025-12-06 10:44:00
CASE20251213034,2025-12-13,HKHYBF,US583156434,Fund,持仓数量差异,交易未及时入账,26332.21,1.561413,确认公司行动处理,45,张三,,2025-12-13 14:24:00
CASE20251107035,2025-11-07,HKGRBF,US426551245,Equity,汇率差异,汇率更新时间差异,21687.65,0.182589,确认汇率时点一致性,71,李四,"CASE20240562355,CASE20241163917",2025-11-07 12:25:00
CASE20251211036,2025-12-11,HKHYBF,US265564833,Equity,费用差异,管理费计提方法不同,13795.11,0.064377,核对费用计算公式,80,钱七,"CASE20240792863,CASE20240185846,CASE20240159084",2025-12-11 10:23:00
CASE20250930037,2025-09-30,HKCACLR2,US411032572,Cash,汇率差异,汇率更新时间差异,38371.25,0.086234,联系托管行确认汇率,118,钱七,,2025-09-30 12:34:00
CASE20251021038,2025-10-21,HKGRBF,US598690974,Fund,应计利息差异,计息基准不一致,22731.85,0.209698,联系托管行确认计息方法,58,赵六,"CASE20240395321,CASE20240754752,CASE20240808999",2025-10-21 13:24:00
CASE20251205039,2025-12-05,HKCACLR2,US366200875,Cash,费用差异,费用分摊方法不同,28126.4,0.035316,统一费用计提标准,39,赵六,CASE20240695969,2025-12-05 13:16:00
CASE20251004040,2025-10-04,HKGCLF,US635008544,Equity,汇率差异,汇率取值时点不同,40692.54,0.187082,统一汇率数据源,102,李四,,2025-10-04 13:59:00
CASE20251019041,2025-10-19,HKHYBF,US478918222,Fund,价格差异,使用不同的定价服务商,4593.45,0.202689,确认价格时点一致性,32,钱七,"CASE20241114612,CASE20241064293",2025-10-19 14:34:00
CASE20251220042,2025-12-20,HKCACLR2,US520040AA9,Bond,持仓数量差异,持仓拆分合并差异,6783.35,0.602499,等待托管行数据更新,51,张三,"CASE20240692076,CASE20240892517,CASE20241023783",2025-12-20 14:41:00
CASE20251116043,2025-11-16,HKCACLR2,US308727AB9,Bond,汇率差异,汇率取值时点不同,48756.63,0.081811,使用中间价统一标准,101,李四,CASE20240381731,2025-11-16 12:50:00
CASE20251022044,2025-10-22,HKMMF,US761962359,Fund,汇率差异,汇率取值时点不同,30352.4,0.105524,使用中间价统一标准,25,赵六,,2025-10-22 12:33:00
CASE20251007045,2025-10-07,HKHYBF,US547256709,Fund,费用差异,其他费用未计提,15059.55,0.082496,确认费用分摊方法,91,张三,,2025-10-07 16:47:00
CASE20250924046,2025-09-24,HKCACLR1,US278794AB3,Bond,费用差异,托管费计算差异,23782.05,0.096872,统一费用计提标准,79,赵六,,2025-09-24 12:04:00
CASE20251217047,2025-12-17,HKMMF,US530311AB1,Bond,汇率差异,使用不同汇率源,1044.97,0.06617,联系托管行确认汇率,93,李四,,2025-12-17 14:25:00
CASE20251125048,2025-11-25,HKMMF,US686556403,Cash,持仓数量差异,公司行动处理差异,26321.31,0.69613,等待托管行数据更新,73,王五,,2025-11-25 16:35:00
CASE20250925049,2025-09-25,HKCACLR1,US928042067,Cash,费用差异,其他费用未计提,24260.59,0.095947,确认费用分摊方法,33,王五,CASE20241102325,2025-09-25 14:05:00
CASE20251107050,2025-11-07,HKMMF,US930071496,Cash,应计利息差异,计息规则理解不同,6181.52,0.20622,联系托管行确认计息方法,109,王五,,2025-11-07 12:28:00
